# ne_cache v1 — ORACLE-PROVENANCE INPUT DATA (m4-pinning §P4/C3; RESEARCH-M §2 amendment).
# Conductor N(E) and root number ε(E) for the height-ordered family
#   {E_{A,B}: y²=x³+Ax+B, H(E)=max(4|A|³,27B²) ≤ X, reduced, nonsingular}.
# N, eps are OBTAINED FROM AN ORACLE (PARI/GP) — a live oracle supplying
# trusted INPUT, not refereeing our numbers; a_p stays COMPUTED (ap_charsum).
# Residual risk: a systematic oracle N/ε error propagates silently — certified
# against pinned ecdata by verify/m4/oracle_dual_overlap_NE (5676 classes exact).
# Generated by: `at ne-cache --X 10000 --out data/m4/ne_cache.txt`.
# Oracle: PARI/GP [2, 17, 4], ellglobalred(ellinit([0,0,0,A,B]))[1] (N), ellrootno (eps).
# provenance: oracle   (columns N, eps)
# format_version 1
# generator_hash 787e95ade733c99f38e72ccb7d38f049b7e02b59ddb673627c58d8bc346de521
# X 10000
# count 1048
# A B N eps
-3 4 5184 -1
-3 5 9072 1
-3 6 864 -1
-3 7 1080 -1
-3 8 25920 1
-3 9 11088 -1
-3 10 2592 1
-3 11 2808 -1
-3 12 60480 -1
-3 13 71280 1
-3 14 648 -1
-3 15 47736 1
-3 16 12096 -1
-3 17 123120 1
-3 18 720 -1
-3 19 77112 -1
-2 -19 77720 -1
-2 -18 139456 1
-2 -17 124336 1
-2 -16 55040 1
-2 -15 48344 -1
-2 -14 84160 -1
-2 -13 72496 -1
-2 -12 30848 1
-2 -11 25880 1
-2 -10 42688 1
-2 -9 34480 1
-2 -8 13568 -1
-2 -7 10328 -1
-2 -6 15040 1
-2 -5 10288 1
-2 -4 640 1
-2 -3 1688 -1
-2 -2 1216 1
-2 -1 80 1
-2 0 256 -1
-2 1 40 1
-2 2 1216 -1
-2 3 3376 -1
-2 4 640 -1
-2 5 5144 1
-2 6 15040 -1
-2 7 20656 1
-2 8 13568 1
-2 9 17240 -1
-2 10 42688 -1
-2 11 51760 1
-2 12 30848 -1
-2 13 36248 -1
-2 14 84160 1
-2 15 96688 1
-2 16 55040 -1
-2 17 62168 -1
-2 18 139456 -1
-2 19 155440 -1
-1 -19 38972 1
-1 -18 139904 -1
-1 -17 124784 -1
-1 -16 55264 -1
-1 -15 24284 -1
-1 -14 84608 -1
-1 -13 72944 -1
-1 -12 31072 -1
-1 -11 13052 -1
-1 -10 43136 -1
-1 -9 34928 -1
-1 -8 13792 -1
-1 -7 5276 1
-1 -6 1408 1
-1 -5 10736 -1
-1 -4 3424 1
-1 -3 956 1
-1 -2 1664 -1
-1 -1 368 1
-1 0 32 1
-1 1 92 -1
-1 2 1664 1
-1 3 3824 -1
-1 4 3424 1
-1 5 2684 1
-1 6 1408 1
-1 7 21104 -1
-1 8 13792 1
-1 9 8732 1
-1 10 43136 1
-1 11 52208 1
-1 12 31072 -1
-1 13 18236 1
-1 14 84608 1
-1 15 97136 1
-1 16 55264 1
-1 17 31196 1
-1 18 139904 1
-1 19 155888 -1
0 -19 12996 -1
0 -18 15552 -1
0 -17 41616 1
0 -16 432 1
0 -15 24300 -1
0 -14 84672 1
0 -13 73008 -1
0 -12 972 1
0 -11 13068 1
0 -10 14400 1
0 -9 3888 1
0 -8 576 1
0 -7 5292 -1
0 -6 15552 1
0 -5 10800 1
0 -4 432 -1
0 -3 972 1
0 -2 1728 -1
0 -1 144 1
0 1 36 1
0 2 1728 -1
0 3 3888 -1
0 4 108 1
0 5 2700 -1
0 6 15552 1
0 7 21168 1
0 8 576 -1
0 9 972 -1
0 10 14400 -1
0 11 52272 -1
0 12 3888 -1
0 13 18252 1
0 14 84672 1
0 15 97200 1
0 16 27 1
0 17 10404 1
0 18 15552 -1
0 19 51984 -1
1 -19 22288 -1
1 -18 8752 1
1 -17 62456 1
1 -16 110656 -1
1 -15 97264 -1
1 -14 2648 -1
1 -13 36536 1
1 -12 62272 1
1 -11 52336 -1
1 -10 52 1
1 -9 17528 1
1 -8 27712 -1
1 -7 21232 -1
1 -6 976 -1
1 -5 5432 -1
1 -4 6976 -1
1 -3 3952 1
1 -2 112 1
1 -1 248 -1
1 0 64 1
1 1 496 -1
1 2 56 1
1 3 1976 -1
1 4 6976 -1
1 5 10864 1
1 6 244 -1
1 7 10616 -1
1 8 27712 -1
1 9 35056 1
1 10 208 1
1 11 26168 1
1 12 62272 1
1 13 73072 -1
1 14 5296 1
1 15 48632 -1
1 16 110656 -1
1 17 124912 1
1 18 4376 -1
1 19 11144 -1
2 -19 78232 -1
2 -18 140480 -1
2 -17 125360 -1
2 -16 55552 1
2 -15 48856 1
2 -14 704 -1
2 -13 73520 1
2 -12 4480 1
2 -11 26392 -1
2 -10 43712 -1
2 -9 35504 -1
2 -8 14080 1
2 -7 10840 1
2 -6 16064 1
2 -5 11312 1
2 -4 3712 1
2 -3 440 -1
2 -2 2240 -1
2 -1 944 1
2 0 256 1
2 1 472 -1
2 2 2240 1
2 3 880 -1
2 4 3712 1
2 5 5656 1
2 6 16064 -1
2 7 21680 -1
2 8 14080 1
2 9 17752 1
2 10 43712 1
2 11 52784 -1
2 12 4480 -1
2 13 36760 1
2 14 704 1
2 15 97712 -1
2 16 55552 1
2 17 62680 1
2 18 140480 1
2 19 156464 -1
3 -19 39420 -1
3 -18 47232 -1
3 -17 126576 -1
3 -16 56160 1
3 -15 24732 1
3 -14 5760 1
3 -13 24912 -1
3 -12 31968 -1
3 -11 540 1
3 -10 44928 -1
3 -9 12240 -1
3 -8 14688 1
3 -7 5724 -1
3 -6 17280 -1
3 -5 4176 -1
3 -4 1440 1
3 -3 1404 -1
3 -2 3456 1
3 -1 2160 1
3 0 288 -1
3 1 540 -1
3 2 3456 -1
3 3 5616 1
3 4 1440 -1
3 5 1044 -1
3 6 17280 1
3 7 22896 1
3 8 14688 -1
3 9 3060 -1
3 10 44928 1
3 11 2160 -1
3 12 31968 -1
3 13 6228 -1
3 14 5760 1
3 15 98928 -1
3 16 56160 -1
3 17 31644 1
3 18 47232 -1
3 19 157680 1
4 -19 40012 1
4 -18 144064 -1
4 -17 128944 1
4 -16 448 -1
4 -15 25324 1
4 -14 88768 1
4 -13 77104 -1
4 -12 2072 -1
4 -11 14092 1
4 -10 47296 -1
4 -9 39088 -1
4 -8 1984 1
4 -7 6316 -1
4 -6 19648 -1
4 -5 2128 1
4 -4 688 -1
4 -3 1996 -1
4 -2 5824 1
4 -1 4528 1
4 0 32 1
4 1 1132 -1
4 2 5824 1
