# ne_cache v1 — ORACLE-PROVENANCE INPUT DATA (m4-pinning §P4/C3; RESEARCH-M §2 amendment).
# Conductor N(E) and root number ε(E) for the height-ordered family
#   {E_{A,B}: y²=x³+Ax+B, H(E)=max(4|A|³,27B²) ≤ X, reduced, nonsingular}.
# N, eps are OBTAINED FROM AN ORACLE (PARI/GP) — a live oracle supplying
# trusted INPUT, not refereeing our numbers; a_p stays COMPUTED (ap_charsum).
# Residual risk: a systematic oracle N/ε error propagates silently — certified
# against pinned ecdata by verify/m4/oracle_dual_overlap_NE (5676 classes exact).
# Generated by: `at ne-cache --X 262144 --out data/m5/ne_cache_x262144.txt`.
# Oracle: PARI/GP [2, 17, 4], ellglobalred(ellinit([0,0,0,A,B]))[1] (N), ellrootno (eps).
# provenance: oracle   (columns N, eps)
# format_version 1
# generator_hash 787e95ade733c99f38e72ccb7d38f049b7e02b59ddb673627c58d8bc346de521
# X 262144
# count 15936
# A B N eps
-38 -2 3510080 1
-38 -1 3511376 1
-38 0 92416 -1
-38 1 1755688 1
-38 2 3510080 1
-38 3 3507920 -1
-38 4 1752448 -1
-38 5 1750504 -1
-38 6 3496256 -1
-38 7 3490640 1
-38 8 1742080 1
-38 9 1738408 1
-38 10 3468608 -1
-38 11 3459536 -1
-38 12 49280 -1
-38 13 343880 -1
-38 14 3427136 -1
-38 15 3414608 -1
-38 16 1700608 1
-38 17 1693480 -1
-38 18 3371840 1
-38 19 3355856 1
-38 20 1669504 -1
-38 21 1660648 -1
-38 22 3302720 -1
-38 23 3283280 -1
-38 24 1631488 1
-38 25 1620904 1
-38 26 3219776 -1
-38 27 3196880 -1
-38 28 1586560 -1
-38 29 1574248 1
-38 30 3123008 -1
-38 31 3096656 1
-38 32 1534720 -1
-38 33 1520680 -1
-38 34 273856 1
-38 35 2982608 -1
-38 36 1475968 1
-38 37 41720 -1
-38 38 115520 -1
-38 39 2854736 1
-38 40 1410304 1
-38 41 1392808 -1
-38 42 2749760 1
-38 43 2713040 1
-38 44 1337728 1
-38 45 1318504 -1
-38 46 2597696 1
-38 47 2557520 -1
-38 48 1258240 1
-38 49 1237288 -1
-38 50 2431808 1
-38 51 2388176 1
-38 52 1171840 -1
-38 53 1149160 1
-38 54 2252096 -1
-38 55 2205008 1
-38 56 1078528 1
-38 57 1054120 -1
-38 58 2058560 1
-38 59 2008016 1
-38 60 978304 1
-38 61 19432 -1
-38 62 370240 -1
-38 63 359440 -1
-38 64 871168 -1
-38 65 22792 1
-38 66 1630016 -1
-38 67 1572560 -1
-38 68 58240 1
-38 69 727528 1
-38 70 1395008 -1
-38 71 1334096 -1
-38 72 636160 -1
-38 73 604840 -1
-38 74 1146176 1
-38 75 1081808 -1
-38 76 508288 1
-38 77 4360 -1
-38 78 883520 -1
-38 79 815696 -1
-38 80 373504 1
-38 81 338728 -1
-38 82 607040 -1
-38 83 535760 1
-38 84 231808 1
-38 85 195304 1
-38 86 45248 1
-38 87 880 1
